Stock Name,close,date,high,low,month,open,volume,source_file,Stock,Sector,Daily_Return,Volatility (%)
TRENT,4682.0,,4760.85,4650.0,2024-05,4759.0,611635,2024-05-27_05-30-00.yaml,extracted_stock_data,,-0.0070831742800185,2.071415069252609
TRENT,4682.0,,4760.85,4650.0,2024-05,4759.0,611635,2024-05-27_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.0940110372501066
TRENT,4615.9,,4723.75,4600.0,2024-05,4697.85,445558,2024-05-28_05-30-00.yaml,extracted_stock_data,,-0.0141178983340453,2.072987700815907
TRENT,4615.9,,4723.75,4600.0,2024-05,4697.85,445558,2024-05-28_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.048478054209652
TRENT,4672.05,,4719.5,4600.1,2024-05,4650.0,744694,2024-05-29_05-30-00.yaml,extracted_stock_data,,0.012164474966962,2.038979101400097
TRENT,4672.05,,4719.5,4600.1,2024-05,4650.0,744694,2024-05-29_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.0214084151068903
TRENT,4651.35,,4698.0,4602.2,2024-05,4669.1,523206,2024-05-30_05-30-00.yaml,extracted_stock_data,,-0.0044306032683725,1.8685029088596676
TRENT,4651.35,,4698.0,4602.2,2024-05,4669.1,523206,2024-05-30_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,1.6842589820823133
TRENT,4559.15,,4710.0,4498.9,2024-05,4665.0,3005008,2024-05-31_05-30-00.yaml,extracted_stock_data,,-0.0198222021563633,1.595435367234619
TRENT,4559.15,,4710.0,4498.9,2024-05,4665.0,3005008,2024-05-31_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,1.4988480232375632
TRENT,4662.2,,4745.8,4604.5,2024-06,4745.8,450140,2024-06-03_05-30-00.yaml,extracted_stock_data,,0.022602897469923,1.363107182011137
TRENT,4662.2,,4745.8,4604.5,2024-06,4745.8,450140,2024-06-03_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,1.196005899723484
TRENT,4538.15,,4685.0,4196.0,2024-06,4685.0,1175204,2024-06-04_05-30-00.yaml,extracted_stock_data,,-0.0266076101411351,1.1988237590550272
TRENT,4538.15,,4685.0,4196.0,2024-06,4685.0,1175204,2024-06-04_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,1.2016330319598751
TRENT,4903.8,,4932.05,4524.25,2024-06,4684.0,1231971,2024-06-05_05-30-00.yaml,extracted_stock_data,,0.0805724799753204,1.5297385864529964
TRENT,4903.8,,4932.05,4524.25,2024-06,4684.0,1231971,2024-06-05_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,1.7539242478301589
TRENT,4878.45,,4928.6,4821.05,2024-06,4910.05,512601,2024-06-06_05-30-00.yaml,extracted_stock_data,,-0.0051694604184511,1.9290506769104625
TRENT,4878.45,,4928.6,4821.05,2024-06,4910.05,512601,2024-06-06_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.068235801338145
TRENT,4964.6,,5010.4,4841.0,2024-06,4878.45,488611,2024-06-07_05-30-00.yaml,extracted_stock_data,,0.0176592975227789,2.336684105956749
TRENT,4964.6,,5010.4,4841.0,2024-06,4878.45,488611,2024-06-07_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.5530594273007856
